iteration_since_maintenance,baseline_env_EnvH,baseline_env_EnvT,cook_temp,start_temp,cooled_temp,cook_time,cc_weight,data_completeness
52.0,63.73,24.59,31.75,25.49,62.03,105.0,10.02,1.0
53.0,62.78,24.65,60.63,58.89,64.65,105.0,8.48,1.0
54.0,62.49,24.72,62.47,61.85,61.63,105.0,8.19,1.0
55.0,62.44,24.72,60.55,58.63,76.97,105.0,8.2,1.0
0.0,60.44,23.63,31.05,25.41,60.03,105.0,9.99,1.0
1.0,60.35,23.8,58.51,59.27,62.61,95.0,9.0,1.0
2.0,60.13,24.0,59.93,59.85,64.11,75.0,9.04,1.0
3.0,60.18,24.08,61.75,60.25,63.67,45.0,9.59,1.0
4.0,60.22,24.14,61.53,60.31,59.09,5.0,7.17,1.0
6.0,60.41,24.29,33.39,27.61,60.75,105.0,12.18,1.0
7.0,60.8,24.36,58.05,57.87,64.17,95.0,9.33,1.0
8.0,60.77,24.36,54.71,58.37,58.33,85.0,9.88,1.0
9.0,60.83,24.4,57.11,56.51,82.45,75.0,9.68,1.0
10.0,61.72,23.91,30.59,24.51,61.13,105.0,9.49,1.0
12.0,63.35,23.27,39.31,31.75,58.59,50.0,5.54,1.0
13.0,63.08,23.36,58.57,53.31,60.57,55.0,9.37,1.0
14.0,63.23,23.29,58.89,58.43,62.27,60.0,8.98,1.0
15.0,63.12,23.29,60.45,63.45,62.47,65.0,10.95,1.0
16.0,63.14,23.4,60.91,53.45,59.07,70.0,0.11,1.0
17.0,64.17,23.23,58.37,53.63,57.39,75.0,9.81,1.0
18.0,64.92,22.87,58.03,57.89,57.63,80.0,8.84,1.0
19.0,62.07,21.64,23.65,21.85,56.63,80.0,7.63,1.0
20.0,61.04,21.98,55.47,55.47,69.45,70.0,9.16,1.0
21.0,60.52,21.96,69.57,68.35,60.83,60.0,0.38,1.0
22.0,59.87,22.13,58.89,51.17,60.51,50.0,8.46,1.0
23.0,60.25,22.17,58.21,61.75,56.11,40.0,9.1,1.0
24.0,60.19,22.23,55.69,54.43,55.51,30.0,9.42,1.0
25.0,60.48,22.32,54.55,47.99,55.19,20.0,8.01,1.0
26.0,60.63,22.3,56.23,54.31,57.53,10.0,6.72,1.0
27.0,61.07,22.34,56.23,55.45,56.43,0.0,0.92,1.0
31.0,63.09,23.14,49.49,54.67,62.67,90.0,9.58,1.0
32.0,63.37,23.08,59.61,53.71,55.75,85.0,9.59,1.0
33.0,63.39,23.53,57.87,56.49,61.11,80.0,9.02,1.0
34.0,62.65,23.59,60.99,61.79,56.73,75.0,8.89,1.0
35.0,60.14,24.12,31.43,25.05,58.93,100.0,7.68,1.0
36.0,58.0,24.46,52.43,56.47,60.07,70.0,8.04,1.0
37.0,57.7,24.61,57.59,56.93,61.63,70.0,6.24,1.0
38.0,57.38,24.7,59.31,58.03,62.19,70.0,4.51,1.0
39.0,57.32,24.78,60.29,60.57,61.71,70.0,5.86,1.0
40.0,57.32,24.59,60.23,58.95,60.07,70.0,6.88,1.0
41.0,57.06,24.59,31.41,26.53,60.79,100.0,7.08,1.0
42.0,60.4,25.71,58.87,58.65,57.85,80.0,7.78,1.0
43.0,60.41,25.76,56.63,54.87,64.09,80.0,7.67,1.0
44.0,60.98,25.69,60.75,58.27,62.27,80.0,7.3,1.0
45.0,61.18,25.73,60.19,58.77,59.95,80.0,8.5,1.0
46.0,61.65,25.8,58.55,56.87,62.01,80.0,8.89,1.0
47.0,61.89,25.78,59.77,57.45,59.21,80.0,9.1,1.0
48.0,61.87,25.73,59.03,56.29,61.05,80.0,9.08,1.0
49.0,61.96,25.69,59.43,59.37,63.19,80.0,8.5,1.0
50.0,61.98,25.71,61.51,60.73,61.17,80.0,8.52,1.0
51.0,61.92,25.69,59.77,59.33,60.59,80.0,7.37,1.0
0.0,66.08,24.67,25.13,25.07,67.79,100.0,8.83,1.0
1.0,66.55,25.08,65.49,62.77,76.97,80.0,8.4,1.0
2.0,66.48,25.12,73.11,73.95,76.39,80.0,8.14,1.0
3.0,66.3,25.25,72.43,71.91,74.91,80.0,8.57,1.0
4.0,65.78,25.48,71.81,72.81,69.43,80.0,8.4,1.0
5.0,66.27,25.4,67.23,69.03,73.35,80.0,7.53,1.0
6.0,66.09,25.52,71.25,69.19,76.39,80.0,8.37,1.0
7.0,65.72,25.58,74.27,72.89,76.99,80.0,7.87,1.0
8.0,65.91,25.61,73.83,76.57,76.23,80.0,8.28,1.0
9.0,65.73,25.69,73.45,70.77,71.67,80.0,8.42,1.0
10.0,65.07,26.01,45.27,41.27,75.19,60.0,8.87,1.0
11.0,65.27,25.95,70.89,72.57,76.73,40.0,7.52,1.0
12.0,65.25,26.03,73.89,71.91,69.61,40.0,7.8,1.0
13.0,65.1,26.14,68.31,66.83,68.95,40.0,6.15,1.0
14.0,65.33,26.12,67.63,66.35,75.89,40.0,7.95,1.0
15.0,65.48,26.12,63.13,71.81,75.07,40.0,6.83,1.0
16.0,65.62,26.1,72.59,70.17,69.93,40.0,7.77,1.0
17.0,65.51,26.2,68.39,64.31,72.83,40.0,7.28,1.0
18.0,65.77,26.2,69.81,69.81,70.77,40.0,8.05,1.0
19.0,65.98,26.18,70.09,66.83,72.53,40.0,8.43,1.0
20.0,66.27,26.14,55.29,51.69,75.31,70.0,8.36,1.0
21.0,65.84,26.18,72.41,75.85,72.19,62.0,7.87,1.0
22.0,65.81,26.24,69.77,68.01,73.25,64.0,8.52,1.0
23.0,65.89,26.23,71.13,69.43,67.19,66.0,8.46,1.0
24.0,65.95,26.2,67.43,64.39,64.89,68.0,8.7,1.0
25.0,66.09,26.24,65.45,60.27,59.59,70.0,8.23,1.0
26.0,65.83,26.27,60.69,57.09,59.67,72.0,9.52,1.0
27.0,65.98,26.29,51.33,56.75,58.45,74.0,9.54,1.0
28.0,65.91,26.29,59.09,57.29,56.43,76.0,9.86,1.0
29.0,65.93,26.29,58.95,53.41,56.19,78.0,10.62,1.0
30.0,66.0,26.27,57.55,53.05,55.35,80.0,11.07,1.0
31.0,65.23,25.8,37.03,30.29,55.83,70.0,7.11,1.0
32.0,65.13,26.03,57.09,54.75,59.73,80.0,8.15,1.0
33.0,65.52,25.91,59.45,57.13,62.61,76.0,7.81,1.0
34.0,65.58,25.95,62.63,61.79,63.95,72.0,8.05,1.0
35.0,65.62,25.95,63.45,61.47,66.83,68.0,8.91,1.0
36.0,65.64,25.95,65.21,65.39,66.09,64.0,9.15,1.0
37.0,65.73,25.93,65.25,63.69,67.49,60.0,9.07,1.0
38.0,65.8,25.95,65.53,67.71,72.39,56.0,7.77,1.0
40.0,66.06,25.91,49.11,42.11,72.87,48.0,0.0,1.0
41.0,66.1,25.93,71.61,68.97,75.57,44.0,8.03,1.0
42.0,70.27,23.8,33.49,31.33,56.03,70.0,8.54,1.0
43.0,70.11,23.89,58.15,52.93,57.21,67.0,9.59,1.0
44.0,70.0,23.93,58.89,52.29,56.09,68.0,8.92,1.0
45.0,70.0,24.08,60.13,54.15,56.61,69.0,8.54,1.0
46.0,69.97,24.06,58.71,53.65,55.71,70.0,8.86,1.0
47.0,69.99,24.06,58.55,53.83,55.55,71.0,8.22,1.0
48.0,70.0,24.08,57.53,54.01,56.57,72.0,8.68,1.0
49.0,69.98,24.12,58.89,54.07,56.31,73.0,8.03,1.0
11.0,43.03,22.28,53.0,50.0,54.0,73.0,8.23,1.0
13.0,43.01,22.93,53.0,55.0,54.0,73.0,8.93,1.0
14.0,41.82,23.23,53.0,50.0,54.0,70.0,8.29,1.0
15.0,42.35,23.06,53.0,50.0,54.0,81.0,7.96,1.0
16.0,41.23,23.08,50.0,50.0,54.0,73.0,6.93,1.0
17.0,41.89,22.95,56.0,50.0,54.0,74.0,10.02,1.0
18.0,43.86,22.78,53.0,50.0,52.0,73.0,8.92,1.0
19.0,43.08,23.0,56.0,55.0,54.0,69.0,8.51,1.0
20.0,43.22,22.83,50.0,45.0,52.0,81.0,9.35,1.0
21.0,42.95,23.0,53.0,50.0,54.0,73.0,9.11,1.0
22.0,44.25,22.59,53.0,50.0,54.0,73.0,9.56,1.0
23.0,45.42,22.4,53.0,45.0,54.0,74.0,8.7,1.0
24.0,44.81,22.49,53.0,45.0,52.0,69.0,9.24,1.0
25.0,45.64,22.25,53.0,55.0,54.0,80.0,9.13,1.0
26.0,46.12,22.11,56.0,50.0,52.0,62.0,7.87,1.0
27.0,45.56,22.08,50.0,50.0,54.0,61.0,6.39,1.0
28.0,45.6,22.06,53.0,50.0,52.0,58.0,6.77,1.0
29.0,45.53,22.08,56.0,45.0,54.0,73.0,8.24,1.0
30.0,44.97,22.19,50.0,55.0,52.0,70.0,8.25,1.0
31.0,46.23,21.96,56.0,45.0,54.0,81.0,8.51,1.0
32.0,45.98,22.02,50.0,50.0,52.0,61.0,8.71,1.0
23.0,47.88,21.45,50.0,45.0,54.0,61.0,6.24,1.0
24.0,54.59,20.11,56.0,55.0,52.0,58.0,9.95,1.0
26.0,54.24,19.92,56.0,55.0,54.0,70.0,9.27,1.0
27.0,52.58,20.71,56.0,45.0,52.0,61.0,8.87,1.0
28.0,52.18,20.96,53.0,50.0,52.0,74.0,9.0,1.0
29.0,52.54,21.11,53.0,50.0,54.0,57.0,6.03,1.0
30.0,52.43,21.24,53.0,45.0,54.0,80.0,9.88,1.0
31.0,52.71,21.26,50.0,55.0,54.0,61.0,9.35,1.0
32.0,52.41,21.28,56.0,50.0,52.0,69.0,8.61,1.0
33.0,52.92,21.28,50.0,45.0,54.0,74.0,9.69,1.0
