iteration;batch_number;stick_number;index_log;stick_weight;sugar_amount;iteration_since_maintenance;wait_time;cook_time;cooldown_time;start_temp;cook_temp;cooled_temp;duration_till_handover;duration_total;show_start_time;show_end_time;duration_cc_flow;diff_flow;diff_flow_stop;baseline_env_EnvH;baseline_env_EnvT;before_turn_on_env_InH;before_turn_on_env_InT;before_turn_on_env_IrO;before_turn_on_env_IrA;after_flow_start_env_InH;after_flow_start_env_InT;after_flow_start_env_IrO;after_flow_start_env_IrA;after_flow_end_env_InH;after_flow_end_env_InT;after_flow_end_env_IrO;after_flow_end_env_IrA;before_cooldown_env_InH;before_cooldown_env_InT;before_cooldown_env_IrO;before_cooldown_env_IrA;after_cooldown_env_InH;after_cooldown_env_InT;after_cooldown_env_IrO;after_cooldown_env_IrA;touch_pos1;touch_pos2;touch_pos3;max_pos1;max_pos2;max_pos3;cc_weight;quality_score;my_score;
57;10;2;63301;1.9;1;2;30.0;80.0;60.0;73.95;73.11;76.39;196.41;422.93;29:35;30:36;60.88;;;66.48;25.12;38.96;40.17;75.47;29.85;40.92;38.75;77.35;30.27;38.9;40.43;91.99;30.43;37.9;41.07;94.01;30.23;38.36;40.51;74.09;30.21;2.0;1.0;11.0;29.62;7.29;27.29;8.14;52.43;50;
58;10;3;63308;1.9;1;3;30.0;80.0;60.0;71.91;72.43;74.91;195.67;412.67;36:35;37:36;60.84;;;66.3;25.25;38.44;40.49;74.13;30.25;40.43;39.05;75.19;30.71;38.59;40.66;90.73;30.39;37.39;41.47;91.85;30.39;38.12;40.7;72.61;30.09;2.0;1.0;10.0;27.89;10.46;26.51;8.57;42.95;60;
59;10;4;63315;1.9;1;4;30.0;80.0;60.0;72.81;71.81;69.43;193.05;483.93;43:31;44:32;60.84;;;65.78;25.48;38.19;40.64;72.07;30.13;40.41;39.09;76.33;30.59;37.4;41.51;86.45;30.95;37.16;41.64;85.85;30.91;38.81;40.13;67.13;30.51;11.0;1.0;11.0;9.43;20.45;33.7;8.4;49.63;30;
60;10;5;63322;1.9;1;5;30.0;80.0;60.0;69.03;67.23;73.35;193.43;423.16;51:47;52:33;46.56;;;66.27;25.4;38.91;40.05;65.77;30.49;41.17;38.6;75.49;30.43;39.74;39.81;85.97;30.31;36.79;42.02;89.89;30.99;37.58;41.21;71.05;30.93;7.0;5.0;4.0;27.89;0.02;38.41;7.53;41.29;45;
61;10;6;63329;1.9;1;6;30.0;80.0;60.0;69.19;71.25;76.39;193.87;440.0;58:41;59:47;65.15;;;66.09;25.52;37.66;41.19;70.53;30.93;40.03;39.45;76.21;31.13;38.31;40.89;90.95;30.81;37.99;41.04;94.79;31.37;38.38;40.6;74.09;31.35;5.0;3.0;11.0;24.44;0.02;39.89;8.37;61.02;55;
62;10;7;63336;1.9;1;7;30.0;80.0;60.0;72.89;74.27;76.99;197.23;439.34;05:58;07:16;78.44;;;65.72;25.58;38.44;40.55;74.69;31.37;40.25;39.28;76.33;31.53;38.22;41.0;93.77;31.11;37.94;41.07;95.41;31.85;38.44;40.51;74.69;31.65;8.0;2.0;8.0;27.56;0.0;27.48;7.87;37.64;60;
63;10;8;63343;1.9;1;8;30.0;80.0;60.0;76.57;73.83;76.23;196.97;433.79;13:19;14:14;54.89;;;65.91;25.61;38.51;40.47;74.85;31.63;40.34;39.17;76.51;31.89;39.16;40.28;89.21;31.53;38.39;40.75;94.01;31.75;38.85;40.28;73.93;31.59;7.0;2.0;8.0;7.86;0.0;21.67;8.28;40.06;40;
64;10;9;63350;1.9;1;9;30.0;80.0;60.0;70.77;73.45;71.67;196.74;417.46;20:32;21:25;52.2;;;65.73;25.69;38.92;40.22;73.29;31.57;40.71;38.98;77.25;31.59;39.4;40.09;90.29;31.15;37.69;41.3;87.19;31.55;38.73;40.37;69.37;31.41;7.0;1.0;6.0;24.3;6.34;42.86;8.42;45.27;45;
65;11;0;63358;1.9;1;10;82.0;60.0;60.0;41.27;45.27;75.19;225.0;437.7;54:28;55:28;60.72;;;65.07;26.01;59.09;28.74;41.31;29.17;52.12;33.48;70.07;28.27;45.61;36.98;84.83;29.17;38.87;41.24;97.29;31.21;38.27;41.3;72.89;31.33;4.0;4.0;3.0;29.88;1.4;35.68;8.87;53.39;65;
66;11;1;63365;1.9;1;11;20.0;40.0;60.0;72.57;70.89;76.73;140.43;439.99;00:40;01:50;70.15;;;65.27;25.95;38.29;41.26;71.39;31.35;40.3;39.62;75.03;31.75;38.83;40.98;90.05;31.19;37.36;41.89;94.15;31.87;37.46;41.66;74.43;31.97;2.0;5.0;1.0;28.55;0.0;19.41;7.52;37.42;45;
67;11;2;63374;1.9;1;12;20.0;40.0;60.0;71.91;73.89;69.61;144.8;382.09;08:02;09:05;63.23;;;65.25;26.03;37.5;41.62;72.93;31.99;39.57;40.11;75.99;32.27;38.27;41.24;89.41;31.53;34.82;44.04;89.75;32.29;36.29;42.47;67.31;31.77;6.0;5.0;4.0;23.51;0.0;42.18;7.8;44.86;60;
68;11;3;63381;1.9;1;13;20.0;40.0;60.0;66.83;68.31;68.95;146.62;415.05;14:38;15:41;62.93;;;65.1;26.14;36.38;42.41;66.31;31.77;39.49;40.05;76.35;31.69;38.35;41.19;89.13;31.29;35.87;43.15;87.17;31.71;37.23;41.79;66.65;31.15;8.0;1.0;11.0;6.86;0.0;31.08;6.15;24.17;40;
69;11;4;63388;1.9;1;14;20.0;40.0;60.0;66.35;67.63;75.89;146.31;423.31;21:36;22:24;48.85;;;65.33;26.12;37.32;41.72;66.39;31.13;39.89;39.81;76.13;31.43;39.0;40.73;85.71;31.09;33.29;45.7;91.65;32.83;33.23;45.49;73.59;32.65;11.0;1.0;11.0;0.24;0.0;56.02;7.95;43.87;70;
70;11;5;63395;1.9;1;15;20.0;40.0;60.0;71.81;63.13;75.07;236.8;512.48;30:07;31:12;65.22;;;65.48;26.12;33.28;45.42;73.09;32.65;39.33;40.28;76.89;32.83;37.95;41.57;92.53;31.79;36.19;42.83;90.43;32.21;36.77;42.23;72.77;32.15;8.0;1.0;11.0;14.63;12.22;30.0;6.83;29.93;50;
71;11;6;63402;1.9;1;16;20.0;40.0;60.0;70.17;72.59;69.93;144.19;378.12;37:00;37:49;49.18;;;65.62;26.1;36.85;42.19;71.75;32.17;39.06;40.53;76.53;32.41;38.34;41.28;86.89;31.91;35.69;43.45;90.55;32.57;36.6;42.47;67.63;32.17;7.0;1.0;1.0;61.71;;;7.77;44.05;40;
72;11;7;63413;1.9;1;17;20.0;40.0;60.0;64.31;68.39;72.83;144.29;374.16;43:25;44:22;56.28;;;65.51;26.2;36.67;42.41;68.19;32.19;39.27;40.45;76.65;32.31;38.07;41.55;88.75;31.83;34.55;44.59;92.19;32.77;34.59;44.34;70.53;32.55;10.0;3.0;1.0;;;;7.28;40.18;40;
73;11;8;63420;1.9;1;18;20.0;40.0;60.0;69.81;69.81;70.77;143.75;397.08;49:39;50:24;44.58;;;65.77;26.2;34.64;44.27;69.97;32.57;37.22;42.04;77.05;32.63;36.74;42.55;86.95;32.17;33.81;45.23;88.03;32.95;34.38;44.47;68.47;32.77;8.0;5.0;7.0;15.36;0.0;27.96;8.05;41.99;50;
74;11;9;63427;1.9;1;19;20.0;40.0;60.0;66.83;70.09;72.53;145.66;374.13;56:18;57:10;51.95;;;65.98;26.18;34.45;44.42;70.03;32.75;37.3;42.0;77.39;32.85;36.84;42.45;88.41;32.27;33.89;45.25;93.53;33.15;34.29;44.68;70.23;33.03;7.0;2.0;4.0;23.72;0.0;27.1;8.43;46.42;60;
75;12;0;63435;1.9;1;20;70.0;70.0;60.0;51.69;55.29;75.31;222.17;564.14;12:56;14:11;74.99;;;66.27;26.14;47.08;34.43;51.59;33.39;48.23;35.28;72.39;30.29;42.54;39.01;93.53;30.77;38.12;41.62;93.83;32.01;38.53;41.11;73.01;31.91;7.0;5.0;6.0;40.36;0.0;52.99;8.36;49.6;60;
76;12;1;63442;1.9;1;21;27.0;62.0;70.0;75.85;72.41;72.19;173.22;450.25;21:41;23:13;91.46;;;65.84;26.18;38.6;41.07;72.05;31.93;40.76;39.51;76.81;32.35;37.89;41.83;95.53;32.07;36.7;42.7;97.61;32.49;37.42;41.87;69.89;32.13;1.0;2.0;2.0;28.35;0.0;18.91;7.87;38.71;55;
77;12;2;63449;1.9;1;22;29.0;64.0;80.0;68.01;69.77;73.25;184.45;464.84;29:20;30:28;68.12;;;65.81;26.24;37.49;41.83;70.17;32.09;40.29;39.75;75.59;32.27;38.53;41.3;92.09;31.91;36.78;42.62;97.39;32.77;37.4;41.91;70.95;32.61;5.0;4.0;3.0;28.12;0.0;23.82;8.52;50.57;70;
78;12;3;63456;1.9;1;23;31.0;66.0;90.0;69.43;71.13;67.19;179.71;441.41;37:03;37:59;56.3;;;65.89;26.23;37.46;41.85;70.63;32.59;39.85;40.11;76.19;32.55;38.6;41.24;89.83;31.99;36.79;42.59;90.43;32.83;37.88;41.55;64.89;32.27;7.0;3.0;6.0;22.49;0.0;53.18;8.46;48.05;70;
79;12;4;63463;1.9;1;24;33.0;68.0;100.0;64.39;67.43;64.89;189.53;457.63;44:37;45:57;80.09;;;65.95;26.2;37.94;41.47;65.13;32.29;40.38;39.77;75.49;32.11;38.75;41.15;93.43;32.09;36.46;42.93;90.77;32.43;38.14;41.34;62.59;32.01;4.0;4.0;7.0;31.7;0.0;49.03;8.7;53.18;65;
80;12;5;63470;1.9;1;25;35.0;70.0;110.0;60.27;65.45;59.59;187.59;450.34;52:17;53:21;63.46;;;66.09;26.24;38.22;41.28;63.09;31.97;40.44;39.81;75.41;31.71;39.1;40.89;89.93;31.75;36.32;43.13;87.23;32.93;39.08;40.51;57.29;32.01;4.0;1.0;6.0;30.65;0.02;32.19;8.23;46.27;62;
81;12;6;63477;1.9;1;26;37.0;72.0;120.0;57.09;60.69;59.67;195.84;483.01;00:01;01:06;65.12;;;65.83;26.27;39.2;40.45;56.77;31.97;41.41;39.13;75.15;31.51;39.64;40.62;89.51;31.63;35.98;43.43;87.07;32.83;38.42;41.09;57.37;31.91;5.0;5.0;5.0;28.19;0.02;47.56;9.52;59.74;70;
82;12;7;63484;1.9;1;27;39.0;74.0;130.0;56.75;51.33;58.45;288.58;568.96;09:37;10:52;75.13;;;65.98;26.29;38.49;41.02;56.35;31.91;43.38;37.86;74.61;31.15;40.77;39.83;90.21;31.35;38.38;41.55;94.01;32.43;40.06;39.85;56.15;31.87;2.0;4.0;4.0;36.75;3.44;31.32;9.54;57.34;75;
83;12;8;63494;1.9;1;28;41.0;76.0;140.0;57.29;59.09;56.43;200.7;490.72;17:35;18:47;71.88;;;65.91;26.29;40.13;39.83;56.21;31.85;42.2;38.58;75.19;31.25;40.33;40.07;91.35;31.49;37.18;42.49;92.73;32.79;40.12;39.77;54.13;31.87;7.0;1.0;3.0;22.36;0.0;27.82;9.86;52.35;75;
84;12;9;63507;1.9;1;29;43.0;78.0;150.0;53.41;58.95;56.19;208.36;540.18;25:52;26:43;51.82;;;65.93;26.29;40.22;39.71;53.59;31.87;42.48;38.36;75.07;31.15;40.77;39.75;86.81;31.31;37.2;42.36;89.25;32.87;40.76;39.22;53.89;31.83;10.0;1.0;7.0;24.73;3.68;73.09;10.62;50.65;65;
85;12;10;63515;1.9;1;30;45.0;80.0;160.0;53.05;57.55;55.35;213.48;565.42;34:50;36:07;77.49;;;66.0;26.27;40.87;39.13;52.85;31.75;43.44;37.73;74.59;31.13;41.07;39.51;92.43;31.49;38.16;41.68;92.07;32.73;41.15;38.98;53.05;31.65;11.0;1.0;8.0;10.31;15.44;44.97;11.07;63.52;60;
86;13;0;63525;1.9;1;31;70.0;70.0;140.0;30.29;37.03;55.83;223.88;588.25;35:59;37:10;70.47;;;65.23;25.8;61.19;27.95;30.37;27.91;53.44;32.99;69.37;28.07;44.22;38.18;86.43;29.17;38.12;41.49;90.07;30.95;41.81;38.03;53.53;30.67;10.0;5.0;9.0;16.33;0.0;39.49;7.11;34.09;55;
87;13;1;63532;1.9;1;32;52.0;80.0;130.0;54.75;57.09;59.73;216.73;535.22;45:03;46:14;70.33;;;65.13;26.03;41.96;37.96;53.09;30.73;43.46;37.37;73.01;30.47;39.7;40.26;90.27;30.79;35.46;43.38;94.01;31.69;38.41;40.51;57.43;30.93;7.0;3.0;10.0;24.75;0.0;38.38;8.15;42.93;70;
88;13;2;63539;1.9;1;33;48.0;76.0;120.0;57.13;59.45;62.61;209.69;619.29;53:54;55:07;72.37;;;65.52;25.91;38.53;40.45;58.77;30.93;41.18;38.75;74.69;30.87;38.43;41.09;93.85;31.41;34.15;44.47;96.43;31.95;37.33;41.32;60.31;31.09;8.0;5.0;2.0;5.12;0.05;0.52;7.81;38.34;60;
89;13;3;63549;1.9;1;34;44.0;72.0;110.0;61.79;62.63;63.95;200.51;497.91;04:07;05:12;65.21;;;65.58;25.95;37.45;41.21;60.47;31.07;40.36;39.3;74.49;31.01;38.55;40.81;90.75;31.43;37.41;41.66;93.65;31.97;39.61;39.68;61.65;31.27;8.0;2.0;9.0;24.65;0.08;46.07;8.05;41.58;55;
90;13;4;63556;1.9;1;35;40.0;68.0;100.0;61.47;63.45;66.83;193.92;498.72;12:25;13:10;44.55;;;65.62;25.95;39.72;39.62;62.99;31.25;41.61;38.49;75.37;30.83;39.76;40.05;86.55;31.03;36.65;42.32;96.53;31.19;38.24;40.73;64.53;30.77;8.0;5.0;11.0;10.02;0.0;48.91;8.91;66.79;66;
91;13;5;63563;1.9;1;36;36.0;64.0;90.0;65.39;65.21;66.09;184.36;500.68;20:40;21:45;65.49;;;65.64;25.95;38.35;40.68;63.85;30.73;40.32;39.47;76.07;30.85;38.76;40.7;92.71;31.23;35.79;43.08;94.53;32.07;37.42;41.41;63.79;31.43;11.0;5.0;11.0;10.0;0.05;61.53;9.15;64.0;70;
92;13;6;63570;1.9;1;37;32.0;60.0;80.0;63.69;65.25;67.49;174.6;433.23;29:02;30:06;63.42;;;65.73;25.93;37.52;41.32;62.21;31.37;40.56;39.22;75.39;31.27;38.69;40.92;89.17;31.45;35.71;43.13;87.33;31.79;37.13;41.7;65.19;31.29;4.0;6.0;8.0;22.79;0.0;47.24;9.07;53.78;70;
93;13;7;63577;1.9;1;38;28.0;56.0;70.0;67.71;65.53;72.39;165.4;443.82;36:10;37:19;69.95;;;65.8;25.95;37.22;41.62;64.45;31.27;39.4;39.9;64.57;32.01;38.09;41.28;90.17;31.59;36.79;42.17;90.59;32.15;37.49;41.51;70.09;31.85;11.0;1.0;10.0;0.55;0.0;62.64;7.77;47.78;70;
;;;;;;;;;;69.83;66.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
95;13;9;63585;1.9;1;40;20.0;48.0;50.0;42.11;49.11;72.87;152.61;448.23;53:49;55:20;91.1;;;66.06;25.91;35.93;43.0;42.61;29.63;46.57;35.62;74.89;29.75;39.69;40.47;94.05;31.19;37.69;41.68;85.75;32.19;38.36;41.0;70.57;31.87;2.0;9.0;2.0;0.0;0.09;1164.0;0.0;19.04;0;
96;13;10;63592;1.9;1;41;16.0;44.0;40.0;68.97;71.61;75.57;149.24;358.45;00:20;01:23;63.31;;;66.1;25.93;38.42;40.94;70.41;31.89;40.85;39.11;75.63;31.99;39.01;40.7;90.47;31.63;36.82;42.41;90.61;32.33;37.17;41.96;73.27;32.21;4.0;5.0;5.0;25.19;0.0;33.17;8.03;49.56;55;
97;14;0;64433;1.9;1;42;30.0;70.0;108.0;31.33;33.49;56.03;423.15;706.12;39:17;40:16;63.69;;;70.27;23.8;49.11;33.59;31.57;26.29;55.24;31.73;71.43;27.49;48.29;35.16;84.63;27.67;42.1;38.36;84.49;28.89;45.88;35.26;53.73;28.17;5.0;6.0;5.0;31.25;0.02;40.04;8.54;53.43;50;
98;14;1;64440;1.9;1;43;52.0;67.0;134.0;52.93;58.15;57.21;213.2;482.22;47:20;48:32;71.62;;;70.11;23.89;46.0;35.16;53.01;28.13;47.23;34.92;71.21;28.05;42.11;38.39;86.67;28.53;40.4;39.35;94.81;29.51;44.07;36.24;54.91;28.69;3.0;3.0;2.0;33.89;0.0;35.98;9.59;55.81;55;
99;14;2;64447;1.9;1;44;50.0;68.0;117.0;52.29;58.89;56.09;216.38;494.63;55:22;56:35;73.49;;;70.0;23.93;44.2;36.18;55.89;28.71;46.08;35.39;71.87;28.47;42.24;38.05;87.55;28.99;39.84;39.66;83.67;29.87;44.17;36.18;53.79;28.73;5.0;3.0;5.0;28.03;0.0;36.61;8.92;55.85;45;
100;14;3;64454;1.9;1;45;48.0;69.0;130.0;54.15;60.13;56.61;212.15;471.98;03:35;05:00;75.51;;;70.0;24.08;44.29;36.11;54.99;28.75;45.87;35.6;72.11;28.63;41.36;38.77;91.81;29.23;39.82;39.73;93.53;29.87;43.68;36.5;54.31;28.87;2.0;1.0;4.0;23.01;1.78;27.8;8.54;48.5;40;
101;14;4;64461;1.9;1;46;46.0;70.0;119.0;53.65;58.71;55.71;206.83;490.62;11:27;12:31;63.71;;;69.97;24.06;43.81;36.43;55.73;28.87;45.49;35.82;71.45;28.63;42.07;38.15;87.31;29.05;39.62;39.75;84.35;29.87;44.02;36.26;53.41;28.85;6.0;4.0;4.0;25.76;0.0;43.08;8.86;55.88;45;
102;14;5;64468;1.9;1;47;44.0;71.0;125.0;53.83;58.55;55.55;205.83;475.37;19:40;20:45;65.51;;;69.99;24.06;44.14;36.22;52.51;28.81;45.56;35.71;71.91;28.49;42.31;38.07;87.77;29.01;39.47;39.92;89.99;30.07;43.49;36.6;53.25;28.91;3.0;3.0;4.0;26.29;0.0;33.75;8.22;49.05;35;
103;14;6;64475;1.9;1;48;42.0;72.0;131.0;54.01;57.53;56.57;206.66;468.22;27:33;28:43;70.44;;;70.0;24.08;43.62;36.54;52.25;28.93;45.68;35.69;71.51;28.73;42.39;37.94;87.65;29.15;39.05;40.41;93.79;30.07;42.7;37.3;54.27;29.15;3.0;3.0;1.0;29.64;0.0;26.51;8.68;49.62;48;
104;14;7;64482;1.9;1;49;40.0;73.0;124.0;54.07;58.89;56.31;205.23;495.53;35:20;36:31;70.78;;;69.98;24.12;42.82;37.24;53.37;29.17;44.88;36.22;71.61;28.91;42.23;38.0;89.83;29.21;37.58;41.45;84.91;29.83;41.43;38.05;54.01;28.85;8.0;3.0;3.0;21.86;0.02;36.99;8.03;44.59;43;
105;15;0;64521;1.90;1;55;0.00;48.00;113.00;53.57;69.65;56.35;187.97;490.18;;;;;;69.26;24.12;44.43;35.94;38.69;28.55;;;;;;;;;;;;;45.21;35.33;54.05;28.49;11.00;6.00;11.00;0.00;0.00;0.00;;;X;
106;15;1;64528;1.90;1;56;0.00;48.00;133.00;55.61;69.77;56.87;174.03;442.52;;;;;;69.30;24.06;45.29;35.30;54.67;28.49;;;;;;;;;;;;;42.36;37.16;54.57;28.93;5.00;2.00;7.00;27.83;0.00;37.41;;;X;
107;15;2;64535;1.90;1;57;0.00;48.00;136.00;53.31;67.91;56.29;166.07;457.58;;;;;;69.14;24.14;42.47;37.07;54.19;28.91;;;;;;;;;;;;;41.23;37.94;53.99;28.53;4.00;6.00;9.00;18.09;0.00;20.67;;;X;
108;15;3;64542;1.90;1;58;0.00;48.00;127.00;59.29;66.99;56.81;193.69;496.93;;;;;;69.10;24.14;41.34;37.86;53.37;28.55;;;;;;;;;;;;;39.91;38.85;54.51;28.85;10.00;4.00;11.00;0.00;0.00;46.27;;;X;
109;15;4;64549;1.90;1;59;0.00;48.00;110.00;61.79;66.11;56.49;191.42;434.57;;;;;;69.09;24.12;39.97;38.85;53.79;28.79;;;;;;;;;;;;;38.00;34.35;54.19;25.25;7.00;5.00;1.00;10.74;0.00;12.01;;;X;
110;15;5;64556;1.90;1;60;0.00;48.00;116.00;62.27;65.19;56.27;191.48;493.87;;;;;;61.93;21.19;38.02;34.31;54.71;25.25;;;;;;;;;;;;;37.12;34.33;53.97;25.29;11.00;6.00;11.00;0.00;0.00;0.00;;;X;
111;15;6;64563;1.90;1;61;0.00;48.00;104.00;64.49;65.07;56.37;197.32;399.04;;;;;;59.89;21.09;37.15;34.33;55.05;25.31;;;;;;;;;;;;;37.46;33.90;54.07;25.25;1.00;1.00;1.00;1.21;1.22;23.00;;;X;
112;15;7;64570;1.90;1;62;0.00;48.00;95.00;66.87;67.97;55.81;210.28;401.23;;;;;;60.16;20.81;37.50;33.84;54.71;25.29;;;;;;;;;;;;;41.21;31.18;53.51;24.87;1.00;1.00;1.00;35.98;46.23;13.93;;;X;
113;15;8;64577;1.90;1;63;0.00;48.00;254.00;69.55;69.27;57.97;136.74;452.36;;;;;;62.21;20.26;41.24;31.18;53.35;24.91;;;;;;;;;;;;;45.56;27.50;55.67;28.95;1.00;1.00;1.00;1.09;1.08;1.09;;;X;
115;16;0;64586;1.90;1;65;0.00;50.00;150.00;52.19;68.81;54.83;220.89;634.62;;;;;;63.88;19.82;57.95;22.37;29.51;23.79;;;;;;;;;;;;;39.29;32.42;52.53;24.67;11.00;5.00;11.00;;;;;;X;
116;16;1;64599;1.90;1;66;0.00;50.00;97.00;51.79;65.85;56.67;171.46;376.25;;;;;;61.44;20.22;39.35;32.37;51.19;24.61;;;;;;;;;;;;;36.52;33.88;54.37;24.43;3.00;2.00;1.00;18.24;1.33;17.67;;;X;
117;16;2;64606;1.90;1;67;0.00;50.00;119.00;52.57;64.83;56.71;166.31;451.11;;;;;;61.05;20.16;36.61;33.86;53.63;24.43;;;;;;;;;;;;;36.83;33.50;54.41;24.89;8.00;3.00;11.00;15.30;0.00;28.88;;;X;
118;16;3;64614;1.90;1;68;0.00;50.00;112.00;55.09;64.19;56.53;159.45;446.01;;;;;;59.35;20.35;36.89;33.46;53.91;24.87;;;;;;;;;;;;;35.77;34.67;54.23;24.27;8.00;5.00;11.00;10.16;0.03;25.92;;;X;
119;16;4;64621;1.90;1;69;0.00;50.00;94.00;53.51;63.27;55.63;158.50;357.65;;;;;;62.81;19.77;35.81;34.63;56.27;24.29;;;;;;;;;;;;;35.75;34.43;53.33;23.81;3.00;1.00;1.00;17.21;5.64;14.65;;;X;
