iteration,iteration_since_maintenance,wait_time,cook_time,duration_cc_flow,baseline_env_EnvH,baseline_env_EnvT,before_turn_on_env_InH,before_turn_on_env_InT,before_turn_on_env_IrO,before_turn_on_env_IrA
0,52,102.0,105.0,98.9,63.73,24.59,39.26,37.9,25.67,25.99
1,53,102.0,105.0,53.71,62.78,24.65,37.33,39.2,59.01,31.41
2,54,102.0,105.0,51.01,62.49,24.72,34.53,41.3,61.77,31.05
3,55,102.0,105.0,62.88,62.44,24.72,34.24,41.45,58.45,31.29
4,0,102.0,105.0,60.96,60.44,23.63,62.36,24.53,25.47,25.29
5,1,94.0,95.0,35.2,60.35,23.8,36.1,38.34,58.15,29.91
6,2,78.0,75.0,48.69,60.13,24.0,33.64,40.32,61.21,30.95
7,3,54.0,45.0,63.3,60.18,24.08,33.03,40.94,60.77,31.41
8,4,22.0,5.0,25.82,60.22,24.14,32.87,41.15,61.29,31.55
10,6,102.0,105.0,63.01,60.41,24.29,35.35,39.03,27.41,26.99
11,7,94.0,95.0,58.07,60.8,24.36,34.71,40.07,58.29,32.07
12,8,86.0,85.0,53.61,60.77,24.36,32.49,41.96,60.53,32.37
13,9,78.0,75.0,58.04,60.83,24.4,33.37,41.13,55.41,31.91
14,10,102.0,105.0,70.28,61.72,23.91,64.94,24.21,24.39,24.61
16,12,50.0,50.0,44.73,63.35,23.27,50.66,29.4,31.75,28.45
17,13,55.0,55.0,51.21,63.08,23.36,37.11,37.9,55.75,31.05
18,14,60.0,60.0,40.51,63.23,23.29,35.61,38.85,57.99,31.01
19,15,65.0,65.0,38.27,63.12,23.29,34.08,40.11,59.23,31.21
20,16,70.0,70.0,21.41,63.14,23.4,33.75,40.43,58.07,30.39
21,17,75.0,75.0,61.73,64.17,23.23,34.66,39.81,53.63,30.07
22,18,80.0,80.0,57.53,64.92,22.87,35.33,39.09,53.89,29.33
23,19,100.0,80.0,62.13,62.07,21.64,64.28,22.26,21.85,22.39
24,20,90.0,70.0,74.77,61.04,21.98,37.23,36.01,55.47,26.81
25,21,80.0,60.0,27.79,60.52,21.96,33.44,38.9,67.53,28.69
26,22,70.0,50.0,55.43,59.87,22.13,33.79,38.43,54.23,28.57
27,23,60.0,40.0,80.94,60.25,22.17,34.02,38.22,59.35,29.51
28,24,50.0,30.0,36.4,60.19,22.23,34.16,38.13,54.43,29.67
29,25,40.0,20.0,86.13,60.48,22.32,33.76,38.49,51.33,29.11
30,26,30.0,10.0,73.02,60.63,22.3,33.23,39.11,53.25,29.49
31,27,20.0,0.0,61.83,61.07,22.34,32.63,39.77,54.05,28.79
34,31,100.0,90.0,105.61,63.09,23.14,39.32,36.71,54.09,28.85
35,32,95.0,85.0,123.94,63.37,23.08,34.69,39.98,53.71,30.55
36,33,90.0,80.0,258.32,63.39,23.53,35.6,39.35,56.49,30.71
37,34,85.0,75.0,130.76,62.65,23.59,34.38,40.53,61.79,30.83
38,35,102.0,100.0,106.16,60.14,24.12,63.37,24.55,25.05,25.33
39,36,60.0,70.0,89.51,58.0,24.46,35.38,39.32,57.35,30.55
40,37,60.0,70.0,96.81,57.7,24.61,33.24,41.13,57.61,31.89
41,38,60.0,70.0,112.5,57.38,24.7,33.12,41.15,58.73,31.49
42,39,60.0,70.0,124.34,57.32,24.78,32.68,41.41,61.63,31.47
43,40,60.0,70.0,89.04,57.32,24.59,32.37,41.41,59.05,31.25
44,41,102.0,100.0,126.41,57.06,24.59,42.94,32.95,26.27,26.73
45,42,30.0,80.0,103.35,60.4,25.71,36.18,40.62,59.25,32.01
46,43,30.0,80.0,118.98,60.41,25.76,36.12,40.64,55.97,32.15
47,44,30.0,80.0,124.52,60.98,25.69,33.35,43.24,62.25,33.23
48,45,30.0,80.0,109.69,61.18,25.73,36.05,40.94,59.09,33.67
49,46,30.0,80.0,119.17,61.65,25.8,36.33,40.92,58.63,33.15
50,47,30.0,80.0,126.42,61.89,25.78,36.29,40.92,58.27,33.13
51,48,30.0,80.0,110.04,61.87,25.73,34.74,42.15,56.17,33.23
52,49,30.0,80.0,117.38,61.96,25.69,36.46,40.68,59.21,33.41
53,50,30.0,80.0,119.61,61.98,25.71,35.92,41.15,61.37,33.63
54,51,30.0,80.0,103.45,61.92,25.69,34.55,42.28,57.97,33.47
55,0,102.0,100.0,60.46,66.08,24.67,0.0,-45.0,25.17,25.73
56,1,30.0,80.0,52.16,66.55,25.08,42.86,37.56,64.39,29.75
57,2,30.0,80.0,60.88,66.48,25.12,38.96,40.17,75.47,29.85
58,3,30.0,80.0,60.84,66.3,25.25,38.44,40.49,74.13,30.25
59,4,30.0,80.0,60.84,65.78,25.48,38.19,40.64,72.07,30.13
60,5,30.0,80.0,46.56,66.27,25.4,38.91,40.05,65.77,30.49
61,6,30.0,80.0,65.15,66.09,25.52,37.66,41.19,70.53,30.93
62,7,30.0,80.0,78.44,65.72,25.58,38.44,40.55,74.69,31.37
63,8,30.0,80.0,54.89,65.91,25.61,38.51,40.47,74.85,31.63
64,9,30.0,80.0,52.2,65.73,25.69,38.92,40.22,73.29,31.57
65,10,82.0,60.0,60.72,65.07,26.01,59.09,28.74,41.31,29.17
66,11,20.0,40.0,70.15,65.27,25.95,38.29,41.26,71.39,31.35
67,12,20.0,40.0,63.23,65.25,26.03,37.5,41.62,72.93,31.99
68,13,20.0,40.0,62.93,65.1,26.14,36.38,42.41,66.31,31.77
69,14,20.0,40.0,48.85,65.33,26.12,37.32,41.72,66.39,31.13
70,15,20.0,40.0,65.22,65.48,26.12,33.28,45.42,73.09,32.65
71,16,20.0,40.0,49.18,65.62,26.1,36.85,42.19,71.75,32.17
72,17,20.0,40.0,56.28,65.51,26.2,36.67,42.41,68.19,32.19
73,18,20.0,40.0,44.58,65.77,26.2,34.64,44.27,69.97,32.57
74,19,20.0,40.0,51.95,65.98,26.18,34.45,44.42,70.03,32.75
75,20,70.0,70.0,74.99,66.27,26.14,47.08,34.43,51.59,33.39
76,21,27.0,62.0,91.46,65.84,26.18,38.6,41.07,72.05,31.93
77,22,29.0,64.0,68.12,65.81,26.24,37.49,41.83,70.17,32.09
78,23,31.0,66.0,56.3,65.89,26.23,37.46,41.85,70.63,32.59
79,24,33.0,68.0,80.09,65.95,26.2,37.94,41.47,65.13,32.29
80,25,35.0,70.0,63.46,66.09,26.24,38.22,41.28,63.09,31.97
81,26,37.0,72.0,65.12,65.83,26.27,39.2,40.45,56.77,31.97
82,27,39.0,74.0,75.13,65.98,26.29,38.49,41.02,56.35,31.91
83,28,41.0,76.0,71.88,65.91,26.29,40.13,39.83,56.21,31.85
84,29,43.0,78.0,51.82,65.93,26.29,40.22,39.71,53.59,31.87
85,30,45.0,80.0,77.49,66.0,26.27,40.87,39.13,52.85,31.75
86,31,70.0,70.0,70.47,65.23,25.8,61.19,27.95,30.37,27.91
87,32,52.0,80.0,70.33,65.13,26.03,41.96,37.96,53.09,30.73
88,33,48.0,76.0,72.37,65.52,25.91,38.53,40.45,58.77,30.93
89,34,44.0,72.0,65.21,65.58,25.95,37.45,41.21,60.47,31.07
90,35,40.0,68.0,44.55,65.62,25.95,39.72,39.62,62.99,31.25
91,36,36.0,64.0,65.49,65.64,25.95,38.35,40.68,63.85,30.73
92,37,32.0,60.0,63.42,65.73,25.93,37.52,41.32,62.21,31.37
93,38,28.0,56.0,69.95,65.8,25.95,37.22,41.62,64.45,31.27
95,40,20.0,48.0,91.1,66.06,25.91,35.93,43.0,42.61,29.63
96,41,16.0,44.0,63.31,66.1,25.93,38.42,40.94,70.41,31.89
