iteration,batch_number,stick_number,index_log,stick_weight,sugar_amount,iteration_since_maintenance,wait_time,cook_time,cooldown_time,start_temp,cook_temp,cooled_temp,duration_till_handover,duration_total,show_start_time,show_end_time,duration_cc_flow,diff_flow,diff_flow_stop,baseline_env_EnvH,baseline_env_EnvT,before_turn_on_env_InH,before_turn_on_env_InT,before_turn_on_env_IrO,before_turn_on_env_IrA,after_flow_start_env_InH,after_flow_start_env_InT,after_flow_start_env_IrO,after_flow_start_env_IrA,after_flow_end_env_InH,after_flow_end_env_InT,after_flow_end_env_IrO,after_flow_end_env_IrA,before_cooldown_env_InH,before_cooldown_env_InT,before_cooldown_env_IrO,before_cooldown_env_IrA,after_cooldown_env_InH,after_cooldown_env_InT,after_cooldown_env_IrO,after_cooldown_env_IrA,touch_pos1,touch_pos2,touch_pos3,max_pos1,max_pos2,max_pos3,cc_weight
142,20,0,64961,1.80,1,11.00,23.00,73.00,78.00,50.00,53.00,54.00,292.00,496.00,15:18:18,15:19:16,58.00,20.00,5.00,43.03,22.28,47.09,23.02,23.21,23.39,43.08,30.38,57.83,25.53,40.99,33.54,69.59,26.89,37.20,36.47,74.15,27.83,35.47,35.92,51.95,27.45,6.00,1.00,5.00,13.22,4.45,19.89,8.23
143,20,1,64968,1.80,1,12.00,25.00,2.00,88.00,45.00,53.00,54.00,1755953761.00,377.00,11:17:36,01:57:36,52800.00,0.00,0.00,42.79,22.85,35.45,35.84,51.37,27.45,,,,,,,,,33.72,36.84,74.37,28.73,32.19,36.03,51.11,27.85,8.00,3.00,3.00,26.25,0.02,35.62,0.00
144,20,2,64969,1.80,1,13.00,21.00,73.00,80.00,55.00,53.00,54.00,219.00,395.00,15:31:35,15:32:39,64.00,19.00,10.00,43.01,22.93,32.20,35.99,50.79,27.85,32.43,35.05,61.93,27.95,31.36,37.37,72.69,28.59,30.30,38.47,71.63,28.67,30.25,36.37,51.95,28.65,1.00,2.00,1.00,15.42,5.34,6.23,8.93
145,20,3,64976,1.80,1,14.00,22.00,70.00,64.00,50.00,53.00,54.00,173.00,405.00,15:37:25,15:38:31,66.00,24.00,20.00,41.82,23.23,30.27,36.37,52.29,28.63,30.96,35.05,59.91,28.27,30.31,37.18,71.41,28.43,29.28,38.20,70.73,28.75,29.34,36.71,52.13,28.05,11.00,1.00,9.00,6.53,1.13,16.45,8.29
146,20,4,64983,1.80,1,15.00,23.00,81.00,88.00,50.00,53.00,54.00,170.00,374.00,15:44:15,15:45:16,61.00,25.00,5.00,42.35,23.06,29.36,36.66,52.43,28.07,30.03,35.30,59.97,28.23,29.54,37.39,73.27,28.75,28.45,38.98,74.35,28.53,28.44,37.03,51.93,27.73,5.00,1.00,3.00,15.53,1.84,11.32,7.96
147,20,5,64990,1.80,1,16.00,22.00,73.00,91.00,50.00,50.00,54.00,183.00,396.00,15:52:35,15:53:30,55.00,45.00,27.00,41.23,23.08,28.44,36.96,54.49,29.41,30.76,34.24,62.17,27.87,29.87,36.64,72.77,28.09,28.75,38.30,76.65,28.31,28.62,36.82,51.39,27.47,7.00,1.00,2.00,6.70,1.01,7.20,197.23
148,20,6,64997,1.80,1,17.00,35.00,74.00,77.00,50.00,56.00,54.00,279.00,448.00,16:39:44,16:40:51,67.00,7.00,0.00,41.89,22.95,28.63,36.79,51.19,27.49,39.97,30.97,58.65,25.93,37.69,34.56,72.05,27.27,35.08,36.50,69.73,27.31,33.93,35.56,51.11,26.85,1.00,1.00,1.00,20.21,3.54,9.81,10.02
149,20,7,65004,1.80,1,18.00,25.00,73.00,98.00,50.00,53.00,52.00,169.00,396.00,16:45:29,16:46:30,61.00,22.00,10.00,43.86,22.78,33.93,35.52,51.59,26.83,34.03,33.90,59.67,27.17,33.08,36.22,70.49,27.67,31.27,38.13,75.85,27.85,30.92,36.07,49.77,27.49,1.00,3.00,8.00,11.86,0.15,11.37,8.92
150,20,8,65011,1.80,1,19.00,23.00,69.00,86.00,55.00,56.00,54.00,219.00,443.00,16:52:51,16:53:59,68.00,12.00,11.00,43.08,23.00,30.94,36.05,49.95,27.47,31.69,34.56,60.69,27.59,30.84,37.07,71.77,28.15,29.52,38.62,78.05,28.21,29.43,36.84,51.33,27.31,5.00,1.00,8.00,11.93,4.18,15.51,8.51
151,20,9,65018,1.80,1,20.00,22.00,81.00,102.00,45.00,50.00,52.00,172.00,409.00,16:59:35,17:00:36,61.00,28.00,8.00,43.22,22.83,29.46,36.77,51.21,27.27,30.53,34.88,61.47,27.53,30.03,36.98,70.73,28.13,29.15,38.51,78.19,28.49,29.11,36.62,49.43,27.51,8.00,1.00,5.00,9.88,5.07,18.00,9.35
152,20,10,65025,1.80,1,21.00,25.00,73.00,90.00,50.00,53.00,54.00,209.00,417.00,17:07:01,17:08:05,64.00,20.00,11.00,42.95,23.00,29.14,36.60,49.37,27.49,30.42,34.88,60.63,27.79,29.71,37.24,73.09,28.33,29.05,38.26,74.05,27.99,29.14,36.73,51.33,27.65,4.00,1.00,4.00,15.11,2.79,31.00,9.11
153,21,0,65034,1.80,1,22.00,23.00,73.00,74.00,50.00,53.00,54.00,237.00,407.00,17:25:49,17:26:46,57.00,18.00,2.00,44.25,22.59,37.07,27.29,35.05,28.27,36.09,31.26,58.21,26.35,34.44,34.33,69.83,26.85,32.62,36.18,69.17,27.77,32.19,35.13,51.35,27.27,1.00,1.00,2.00,14.14,7.42,10.10,9.56
154,21,1,65041,1.80,1,23.00,25.00,74.00,78.00,45.00,53.00,54.00,170.00,345.00,17:31:09,17:32:29,80.00,4.00,10.00,45.42,22.40,32.24,35.07,51.93,27.29,32.97,33.61,56.85,27.19,31.89,36.30,71.79,27.53,30.86,37.30,71.61,27.99,30.63,36.14,51.75,27.53,1.00,1.00,1.00,18.97,4.19,12.66,8.70
155,21,2,65049,1.80,1,24.00,38.00,69.00,78.00,45.00,53.00,52.00,172.00,351.00,17:40:12,17:40:58,46.00,28.00,5.00,44.81,22.49,30.65,36.09,47.15,29.45,33.32,33.03,60.45,26.75,32.40,35.13,69.15,27.07,31.26,36.69,68.37,27.49,31.11,35.33,50.47,27.09,1.00,1.00,1.00,19.17,6.84,12.34,9.24
156,21,3,65056,1.80,1,25.00,23.00,80.00,88.00,55.00,53.00,54.00,218.00,407.00,17:46:25,17:47:38,73.00,8.00,1.00,45.64,22.25,31.12,35.26,50.67,27.13,32.02,33.92,60.17,27.25,31.19,36.28,73.29,27.89,30.25,37.52,73.95,28.07,30.26,35.92,51.29,26.85,3.00,1.00,1.00,14.01,1.45,11.18,9.13
157,21,4,65063,1.80,1,26.00,37.00,62.00,94.00,50.00,56.00,52.00,176.00,395.00,17:52:38,17:53:45,67.00,11.00,16.00,46.12,22.11,30.30,35.90,50.77,26.87,31.30,34.37,58.47,26.87,30.52,36.66,71.57,27.35,29.61,37.79,74.17,27.77,29.65,36.20,50.25,26.59,6.00,1.00,4.00,7.17,1.11,11.40,7.87
158,21,5,65070,1.80,1,27.00,22.00,61.00,87.00,50.00,50.00,54.00,199.00,419.00,17:59:54,18:00:45,51.00,29.00,19.00,45.56,22.08,29.70,36.11,49.57,26.57,31.25,34.05,59.67,26.07,30.76,35.75,69.07,26.57,30.00,36.71,73.65,27.99,30.25,35.05,51.25,27.23,4.00,4.00,6.00,6.20,0.26,5.76,6.39
159,21,6,65077,1.80,1,28.00,26.00,58.00,76.00,50.00,53.00,52.00,164.00,335.00,18:06:18,18:07:12,54.00,23.00,19.00,45.60,22.06,30.28,35.03,51.23,27.19,31.27,33.92,59.43,26.71,30.72,35.71,68.21,26.83,29.90,37.18,68.15,27.87,30.08,35.43,50.05,27.21,1.00,1.00,1.00,13.40,3.12,6.25,6.77
160,21,7,65084,1.80,1,29.00,42.00,73.00,86.00,45.00,56.00,54.00,182.00,402.00,18:12:00,18:13:08,68.00,11.00,6.00,45.53,22.08,30.09,35.39,50.45,27.25,31.18,34.05,59.89,26.79,30.50,36.16,71.57,27.25,29.93,36.58,75.55,27.85,30.08,35.37,51.63,26.67,1.00,1.00,11.00,6.93,0.92,26.19,8.24
161,21,8,65092,1.80,1,30.00,24.00,70.00,93.00,55.00,50.00,52.00,211.00,427.00,18:19:22,18:20:17,55.00,10.00,-5.00,44.97,22.19,30.09,35.37,51.29,26.67,31.31,33.95,60.69,26.71,30.84,35.62,71.03,27.39,29.96,36.84,74.01,27.71,30.20,35.09,49.95,26.63,4.00,1.00,5.00,13.39,5.31,15.61,8.25
162,21,9,65100,1.80,1,31.00,44.00,81.00,90.00,45.00,56.00,54.00,186.00,398.00,18:25:55,18:26:51,56.00,11.00,-14.00,46.23,21.96,30.24,35.03,49.55,26.63,31.39,33.86,60.13,26.31,30.79,35.77,71.77,26.91,29.79,37.39,75.71,27.63,29.73,36.24,51.21,26.49,5.00,1.00,4.00,13.85,5.94,7.41,8.51
163,21,10,65108,1.80,1,32.00,24.00,61.00,87.00,50.00,50.00,52.00,154.00,354.00,18:32:25,18:33:11,46.00,22.00,7.00,45.98,22.02,29.76,36.18,51.79,26.45,30.96,34.24,59.35,26.45,30.72,35.84,68.61,26.53,29.90,37.32,71.75,26.61,30.12,35.58,49.69,25.97,4.00,1.00,3.00,14.91,4.81,13.58,8.71
146,22,0,65178,1.80,1,23.00,34.00,61.00,63.00,45.00,50.00,54.00,280.00,512.00,20:28:19,20:29:18,59.00,18.00,16.00,47.88,21.45,45.24,23.34,22.19,21.39,49.40,27.68,55.51,22.21,46.67,31.10,66.99,22.73,41.26,34.82,71.81,23.93,39.95,33.82,52.23,23.33,11.00,1.00,11.00,6.96,0.41,35.56,6.24
147,22,1,65187,1.80,1,24.00,23.00,58.00,77.00,55.00,56.00,52.00,200.00,391.00,20:35:34,20:36:32,58.00,7.00,7.00,54.59,20.11,39.97,33.71,51.65,23.33,39.71,32.24,57.51,24.29,38.54,34.09,68.59,24.61,36.78,35.37,70.67,24.57,36.20,34.09,50.15,23.73,1.00,2.00,3.00,22.14,0.18,10.88,9.95
148,22,2,65197,1.80,1,25.00,26.00,9.00,82.00,50.00,50.00,52.00,279.00,772.00,20:59:05,20:59:38,33.00,48.00,72.00,53.40,20.20,36.21,34.01,49.91,23.75,39.09,31.16,61.99,23.81,38.51,32.12,67.65,23.97,36.17,34.58,65.99,25.31,34.60,33.75,49.85,24.93,11.00,11.00,11.00,0.00,0.00,0.00,-1.80
149,22,3,65215,1.80,1,26.00,24.00,70.00,70.00,55.00,56.00,54.00,211.00,420.00,21:10:25,21:11:24,59.00,12.00,1.00,54.24,19.92,34.61,33.73,50.11,24.99,35.78,32.18,59.69,24.67,35.14,34.11,70.53,24.67,33.95,35.33,73.63,24.95,34.00,34.16,51.83,24.33,5.00,3.00,6.00,15.51,0.10,15.59,9.27
150,22,4,65222,1.80,1,27.00,36.00,61.00,89.00,45.00,56.00,52.00,163.00,381.00,21:16:55,21:17:39,44.00,22.00,5.00,52.58,20.71,34.01,34.09,52.21,24.25,34.93,33.03,64.63,24.43,34.58,34.18,68.89,25.09,33.28,36.24,73.61,25.95,32.93,35.35,49.67,25.55,6.00,2.00,4.00,18.74,2.19,20.45,8.87
151,22,5,65229,1.80,1,28.00,26.00,74.00,86.00,50.00,53.00,52.00,199.00,392.00,21:23:42,21:24:39,57.00,17.00,0.00,52.18,20.96,32.95,35.33,48.97,25.57,34.31,33.46,58.35,25.67,33.81,35.03,68.35,26.03,32.85,36.35,71.39,26.25,32.91,34.88,49.73,25.63,4.00,2.00,1.00,16.68,0.97,15.16,9.00
152,22,6,65236,1.80,1,29.00,31.00,57.00,88.00,50.00,53.00,54.00,161.00,386.00,21:29:44,21:30:36,52.00,17.00,12.00,52.54,21.11,32.94,34.88,50.13,25.67,34.06,33.67,58.45,25.59,33.50,35.33,68.81,25.79,32.29,37.28,75.35,26.63,31.97,36.39,51.05,25.89,7.00,1.00,7.00,7.47,2.98,13.40,6.03
153,22,7,65243,1.80,1,30.00,27.00,80.00,86.00,45.00,53.00,54.00,179.00,394.00,21:36:10,21:37:23,73.00,18.00,11.00,52.43,21.24,31.98,36.35,51.01,25.87,33.05,34.67,59.09,25.87,32.59,36.47,73.11,26.31,31.68,37.77,76.11,27.61,31.58,36.54,51.99,27.05,8.00,1.00,2.00,11.41,5.84,7.94,9.88
154,22,8,65250,1.80,1,31.00,23.00,61.00,79.00,55.00,50.00,54.00,212.00,393.00,21:43:25,21:44:31,66.00,7.00,12.00,52.71,21.26,31.61,36.47,51.63,27.07,33.03,34.41,59.23,26.95,32.44,36.39,71.21,26.51,31.76,37.28,72.47,27.29,31.85,36.05,51.07,26.65,1.00,3.00,1.00,15.95,0.65,14.95,9.35
155,22,9,65257,1.80,1,32.00,41.00,69.00,98.00,50.00,56.00,52.00,171.00,397.00,21:49:23,21:50:26,63.00,6.00,0.00,52.41,21.28,31.88,36.03,51.79,26.67,33.06,34.28,58.43,26.53,32.55,36.22,70.29,26.87,31.72,37.56,75.37,27.87,31.76,36.24,49.93,27.15,1.00,1.00,9.00,10.06,2.40,23.97,8.61
156,22,10,65264,1.80,1,33.00,23.00,74.00,71.00,45.00,50.00,54.00,157.00,333.00,21:55:50,21:56:53,63.00,11.00,0.00,52.92,21.28,31.78,36.24,50.37,27.15,33.03,34.24,54.99,26.87,32.94,35.45,67.33,26.45,31.89,37.62,69.03,26.73,31.83,36.54,51.21,25.85,3.00,1.00,1.00,19.75,9.80,14.15,9.69
174,23,0,66544,1.80,1,44.00,28.00,73.00,67.00,50.00,53.00,54.00,280.00,453.00,03:08:02,03:09:12,70.00,4.00,1.00,78.59,18.69,66.47,21.94,26.23,21.87,64.08,26.70,55.67,21.75,58.79,30.82,69.29,23.01,53.89,32.33,70.31,24.05,52.06,31.73,51.55,23.67,1.00,4.00,1.00,34.49,0.06,17.26,9.01
175,23,1,66551,1.80,1,45.00,32.00,73.00,73.00,45.00,53.00,54.00,166.00,355.00,03:13:50,03:14:49,59.00,9.00,-5.00,79.10,18.63,52.07,31.71,51.19,23.67,52.92,30.03,56.75,23.29,51.32,31.86,69.91,23.45,48.86,32.90,71.07,24.29,48.28,32.14,50.87,23.87,2.00,4.00,3.00,33.58,2.20,27.29,9.05
176,23,2,66558,1.80,1,46.00,21.00,73.00,53.00,55.00,53.00,54.00,211.00,434.00,03:20:30,03:21:37,67.00,6.00,0.00,79.57,18.54,48.31,32.14,50.83,23.91,50.15,30.38,56.47,23.37,48.77,32.29,69.31,23.59,46.26,33.43,65.43,24.05,46.46,32.44,51.39,23.83,5.00,11.00,9.00,0.00,1733.98,2516.49,8.31
177,23,3,66565,1.80,1,47.00,26.00,70.00,68.00,50.00,53.00,54.00,166.00,343.00,03:27:05,03:28:08,63.00,14.00,7.00,79.64,18.56,46.49,32.39,51.89,23.85,48.22,30.80,56.55,23.61,47.49,32.46,67.61,23.15,45.47,33.97,69.01,24.11,45.18,33.31,51.05,23.83,3.00,3.00,1.00,22.54,0.11,18.40,8.56
178,23,4,66572,1.80,1,48.00,29.00,80.00,69.00,50.00,53.00,54.00,203.00,388.00,03:33:25,03:34:32,67.00,15.00,2.00,80.29,18.44,45.18,33.24,49.81,23.85,47.42,31.10,58.03,23.29,46.44,32.78,69.21,23.65,44.21,34.58,71.11,24.71,44.24,33.46,51.07,24.37,2.00,5.00,1.00,28.24,0.10,23.66,6.20
179,23,5,66579,1.80,1,49.00,22.00,72.00,62.00,50.00,50.00,54.00,161.00,327.00,03:39:24,03:40:20,56.00,21.00,5.00,79.80,18.56,44.25,33.41,50.27,24.37,46.57,31.61,57.39,23.61,45.69,33.01,67.25,23.59,43.55,34.99,67.93,24.03,43.28,34.24,51.63,23.65,2.00,2.00,1.00,26.33,4.10,14.85,8.31
180,23,6,66586,1.80,1,50.00,37.00,73.00,77.00,50.00,56.00,54.00,170.00,371.00,03:44:54,03:45:51,57.00,7.00,-9.00,79.59,18.56,43.31,34.22,51.83,23.63,45.33,32.35,57.73,23.51,44.96,33.20,68.55,23.79,43.77,34.24,73.07,24.05,43.85,33.37,50.75,23.19,4.00,1.00,6.00,16.72,0.07,25.87,8.96
181,23,7,66593,1.80,1,51.00,30.00,73.00,88.00,50.00,53.00,52.00,191.00,398.00,03:51:09,03:52:34,85.00,15.00,27.00,80.32,18.46,43.90,33.33,50.19,23.15,46.12,31.59,57.13,23.07,45.29,33.14,70.67,23.71,43.62,34.84,74.25,25.67,43.38,33.86,49.61,26.01,5.00,1.00,4.00,23.69,8.32,15.81,8.63
182,23,8,66600,1.80,1,52.00,24.00,69.00,86.00,55.00,56.00,54.00,211.00,431.00,03:58:31,03:59:36,65.00,4.00,0.00,77.13,19.37,43.40,33.82,50.05,26.01,45.30,32.48,58.71,26.03,43.93,34.47,70.91,26.07,41.56,36.54,75.45,27.15,40.96,36.05,51.55,26.73,4.00,5.00,4.00,19.60,0.00,18.43,9.70
183,23,9,66607,1.80,1,53.00,24.00,81.00,75.00,45.00,50.00,52.00,174.00,496.00,04:05:04,04:06:12,68.00,22.00,9.00,74.02,20.16,40.98,35.96,51.93,26.71,42.90,33.75,59.73,26.71,42.36,35.13,71.13,26.79,40.12,37.28,66.15,27.09,40.16,35.99,49.05,26.35,9.00,4.00,8.00,17.83,0.67,35.02,8.31
184,23,10,66614,1.80,1,54.00,28.00,73.00,87.00,50.00,53.00,54.00,199.00,414.00,04:13:59,04:14:54,55.00,18.00,0.00,72.93,20.56,40.20,35.94,48.69,26.39,42.74,33.92,58.95,26.17,42.18,35.12,68.73,26.59,40.03,37.39,74.09,27.63,39.64,36.73,51.23,27.13,1.00,5.00,6.00,19.07,0.02,34.40,9.68
