iteration_since_maintenance,wait_time,cook_time,cooldown_time,duration_till_handover,duration_total,duration_cc_flow,baseline_env_EnvH,baseline_env_EnvT,before_turn_on_env_InH,before_turn_on_env_InT,before_turn_on_env_IrO,before_turn_on_env_IrA,after_flow_start_env_InH,after_flow_start_env_InT,after_flow_start_env_IrO,after_flow_start_env_IrA,after_flow_end_env_InH,after_flow_end_env_InT,after_flow_end_env_IrO,after_flow_end_env_IrA,before_cooldown_env_InH,before_cooldown_env_InT,before_cooldown_env_IrO,before_cooldown_env_IrA,after_cooldown_env_InH,after_cooldown_env_InT,after_cooldown_env_IrO,after_cooldown_env_IrA,avg_pressure,pressure_stability,avg_size,size_consistency,source_file,final_weight,weight_consistency,overall_quality_score,high_quality
0,102,105,60,0,382.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,10.0,2.33,10.0,0-0-process.yaml,,,,0
1,102,105,60,0,406.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.03,10.0,2.67,10.0,0-1-process.yaml,8.48,10.0,10.0,0
2,102,105,60,0,412.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.03,10.0,2.67,10.0,0-2-process.yaml,8.19,10.0,10.0,0
3,102,105,60,0,427.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.47,10.0,5.0,10.0,0-3-process.yaml,-1.8,10.0,10.0,0
4,102,105,60,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0-4-process.yaml,,,,0
0,102,105,60,0,394.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.99,10.0,1.67,10.0,1-0-process.yaml,9.99,10.0,10.0,0
1,94,95,60,0,468.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77,10.0,8.0,10.0,1-1-process.yaml,9.0,10.0,10.0,0
2,78,75,60,0,339.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,10.0,3.33,10.0,1-2-process.yaml,,,,0
3,54,45,60,0,354.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.48,10.0,6.33,10.0,1-3-process.yaml,9.59,10.0,10.0,0
4,22,5,60,0,220.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,10.0,2.0,10.0,1-4-process.yaml,7.17,10.0,10.0,0
5,-18,-45,60,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1-5-process.yaml,,,,0
11,102,105,60,0,402.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.96,10.0,2.0,10.0,2-0-process.yaml,12.18,10.0,10.0,0
12,94,95,60,0,400.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.34,10.0,3.33,10.0,2-1-process.yaml,9.33,10.0,10.0,0
13,86,85,60,0,520.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.89,10.0,6.33,10.0,2-2-process.yaml,9.88,10.0,10.0,0
14,78,75,60,0,414.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.88,10.0,8.33,10.0,2-3-process.yaml,-1.8,10.0,10.0,0
10,102,105,60,0,404.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.52,10.0,1.0,10.0,2-0-process.yaml,9.49,10.0,10.0,0
11,94,96,60,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2-1-process.yaml,,,,0
12,50,50,60,0,385.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,10.0,4.33,10.0,4-0-process.yaml,5.54,10.0,10.0,0
13,55,55,60,0,373.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,10.0,4.0,10.0,4-1-process.yaml,9.37,10.0,10.0,0
15,60,60,60,0,399.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,10.0,5.0,10.0,4-2-process.yaml,8.98,10.0,10.0,0
18,65,65,60,0,374.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,10.0,3.0,10.0,4-3-process.yaml,-1.72,10.0,10.0,0
22,70,70,60,0,518.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9.0,10.0,4-4-process.yaml,0.11,10.0,,0
27,75,75,60,0,429.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33,10.0,4.33,10.0,4-5-process.yaml,9.81,10.0,10.0,0
33,80,80,60,0,458.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66,10.0,5.33,10.0,4-6-process.yaml,8.84,10.0,10.0,0
12,100,80,60,0,506.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.29,10.0,6.67,10.0,4-0-process.yaml,7.63,10.0,10.0,0
13,90,70,60,0,457.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.67,10.0,5.67,10.0,4-1-process.yaml,9.16,10.0,10.0,0
15,80,60,60,0,518.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9.33,10.0,4-2-process.yaml,0.38,10.0,,0
18,70,50,60,0,385.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,10.0,3.67,10.0,4-3-process.yaml,8.46,10.0,10.0,0
22,60,40,60,0,423.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.01,10.0,6.67,10.0,4-4-process.yaml,9.1,10.0,10.0,0
27,50,30,60,0,340.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.81,10.0,3.67,10.0,4-5-process.yaml,9.42,10.0,10.0,0
33,40,20,60,0,332.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.05,10.0,2.0,10.0,4-6-process.yaml,8.01,10.0,10.0,0
40,30,10,60,0,334.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.85,10.0,3.0,10.0,4-7-process.yaml,6.72,10.0,10.0,0
48,20,0,60,0,415.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,10.0,7.67,10.0,4-8-process.yaml,0.92,10.0,10.0,0
12,100,90,60,0,545.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,10.0,6.33,10.0,7-0-process.yaml,9.58,10.0,10.0,0
13,95,85,60,0,532.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.38,10.0,4.67,10.0,7-1-process.yaml,9.59,10.0,10.0,0
15,90,80,60,0,587.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,10.0,5.33,10.0,7-2-process.yaml,9.02,10.0,10.0,0
18,85,75,60,0,407.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87,10.0,1.67,10.0,7-3-process.yaml,8.89,10.0,10.0,0
